Id,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity

27,Dance Monkey,Tones and I,australian pop,98,59,82,-6,18,54,210,69,10,83

28,It's You,Ali Gatie,canadian hip hop,96,46,73,-7,19,40,213,37,3,89

29,Con Calma,Daddy Yankee,latin,94,86,74,-3,6,66,193,11,6,91

30,QUE PRETENDES,J Balvin,latin,93,79,64,-4,36,94,222,3,25,89

31,Takeaway,The Chainsmokers,edm,85,51,29,-8,10,36,210,12,4,84

32,7 rings,Ariana Grande,dance pop,140,32,78,-11,9,33,179,59,33,89

33,0.95833333,Maluma,reggaeton,96,71,78,-5,9,68,176,22,28,89

34,The London,Young Thug,atl hip hop,98,59,80,-7,13,18,200,2,15,89

35,Never Really,Katy Perry,dance pop,100,88,77,-5,32,39,224,19,6,89

36,Summer Days,Martin Garrix,big room,114,72,66,-7,14,32,164,18,6,89

37,Otro Trago,Sech,panamanian pop,176,70,75,-5,11,62,226,14,34,91

38,Antisocial,Ed Sheeran,pop,152,82,72,-5,36,91,162,13,5,87

39,Sucker,Jonas Brothers,boy band,138,73,84,-5,11,95,181,4,6,80

41,Higher Love,Kygo,edm,104,68,69,-7,10,40,228,2,3,88

42,You Need To Calm Down,Taylor Swift,dance pop,85,68,77,-6,7,73,171,1,5,90

43,Shallow,Lady Gaga,dance pop,96,39,57,-6,23,32,216,37,3,87

44,Talk,Khalid,pop,136,40,90,-9,6,35,198,5,13,84

45,Con Altura,ROSALA,r&b en espanol,98,69,88,-4,5,75,162,39,12,88

46,One Thing Right,Marshmello,brostep,88,62,66,-2,58,44,182,7,5,88

47,Te Robar,Nicky Jam,latin,176,75,67,-4,8,80,202,24,6,88

48,Happier,Marshmello,brostep,100,79,69,-3,17,67,214,19,5,88

49,Call You Mine,The Chainsmokers,edm,104,70,59,-6,41,50,218,23,3,88

50,Cross Me,Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82

